keys,en,de,ja
POKEMON1,Bulbasaur,,
POKEMON2,Ivysaur,,
POKEMON3,Venusaur,,
POKEMON4,Charmander,,
POKEMON5,Charmeleon,,
POKEMON6,Charizard,Lizardon,
POKEMON7,Squirtle,,
POKEMON8,Wartortle,,
POKEMON9,Blastoise,,
POKEMON10,Caterpie,,
POKEMON11,Metapod,,
POKEMON12,Butterfree,,
POKEMON13,Weedle,,
POKEMON14,Kakuna,,
POKEMON15,Beedrill,,
POKEMON16,Pidgey,,
POKEMON17,Pidgeotto,,
POKEMON18,Pidgeot,,
POKEMON19,Rattata,,
POKEMON20,Raticate,,
POKEMON21,Spearow,,
POKEMON22,Fearow,,
POKEMON23,Ekans,,
POKEMON24,Arbok,,
POKEMON25,Pikachu,,
POKEMON26,Raichu,,
POKEMON27,Sandshrew,,
POKEMON28,Sandslash,,
POKEMON29,Nidoran,,
POKEMON30,Nidorina,,
POKEMON31,Nidoqueen,,
POKEMON32,Nidoran,,
POKEMON33,Nidorino,,
POKEMON34,Nidoking,,
POKEMON35,Clefairy,Pipi,
POKEMON36,Clefable,Pixie,
POKEMON37,Vulpix,,
POKEMON38,Ninetales,,
POKEMON39,Jigglypuff,Purin,
POKEMON40,Wigglytuff,,
POKEMON41,Zubat,,
POKEMON42,Golbat,,
POKEMON43,Oddish,,
POKEMON44,Gloom,,
POKEMON45,Vileplume,,
POKEMON46,Paras,,
POKEMON47,Parasect,,
POKEMON48,Venonat,,
POKEMON49,Venomoth,,
POKEMON50,Diglett,,
POKEMON51,Dugtrio,,
POKEMON52,Meowth,,
POKEMON53,Persian,,
POKEMON54,Psyduck,,
POKEMON55,Golduck,,
POKEMON56,Mankey,,
POKEMON57,Primeape,,
POKEMON58,Growlithe,,
POKEMON59,Arcanine,,
POKEMON60,Poliwag,,
POKEMON61,Poliwhirl,,
POKEMON62,Poliwrath,,
POKEMON63,Abra,,
POKEMON64,Kadabra,,
POKEMON65,Alakazam,,
POKEMON66,Machop,,
POKEMON67,Machoke,,
POKEMON68,Machamp,,
POKEMON69,Bellsprout,,
POKEMON70,Weepinbell,,
POKEMON71,Victreebell,,
POKEMON72,Tentacool,,
POKEMON73,Tentacruel,,
POKEMON74,Geodude,,
POKEMON75,Graveler,,
POKEMON76,Golem,,
POKEMON77,Ponyta,,
POKEMON78,Rapidash,,
POKEMON79,Slowpoke,,
POKEMON80,Slowbro,,
POKEMON81,Magnemite,,
POKEMON82,Magneton,,
POKEMON83,Farfetch'd,,
POKEMON84,Doduo,,
POKEMON85,Dodrio,,
POKEMON86,Seel,,
POKEMON87,Dewgong,,
POKEMON88,Grimer,,
POKEMON89,Muk,,
POKEMON90,Shellder,,
POKEMON91,Cloyster,,
POKEMON92,Gastly,,
POKEMON93,Haunter,,
POKEMON94,Gengar,,
POKEMON95,Onix,,
POKEMON96,Drowzee,,
POKEMON97,Hypno,,
POKEMON98,Krabby,,
POKEMON99,Kingler,,
POKEMON100,Voltorb,,
POKEMON101,Electrode,,
POKEMON102,Exeggcute,,
POKEMON103,Exeggutor,,
POKEMON104,Cubone,,
POKEMON105,Marowak,,
POKEMON106,Hitmonlee,,
POKEMON107,Hitmonchan,,
POKEMON108,Lickitung,,
POKEMON109,Koffing,,
POKEMON110,Weezing,,
POKEMON111,Rhyorn,,
POKEMON112,Rhydon,,
POKEMON113,Chansey,Lucky,
POKEMON114,Tangela,,
POKEMON115,Kangaskhan,,
POKEMON116,Horsea,,
POKEMON117,Seadra,,
POKEMON118,Goldeen,,
POKEMON119,Seaking,,
POKEMON120,Staryu,,
POKEMON121,Starmie,,
POKEMON122,Mr. Mime,Barrierd,
POKEMON123,Scyther,,
POKEMON124,Jynx,,
POKEMON125,Electabuzz,,
POKEMON126,Magmar,,
POKEMON127,Pinsir,,
POKEMON128,Tauros,,
POKEMON129,Magikarp,,
POKEMON130,Gyarados,,
POKEMON131,Lapras,,
POKEMON132,Ditto,Metamon,
POKEMON133,Eevee,,
POKEMON134,Vaporeon,,
POKEMON135,Jolteon,,
POKEMON136,Flareon,,
POKEMON137,Porygon,,
POKEMON138,Omanyte,,
POKEMON139,Omastar,,
POKEMON140,Kabuto,,
POKEMON141,Kabutops,,
POKEMON142,Aerodactyl,,
POKEMON143,Snorlax,,
POKEMON144,Articuno,,
POKEMON145,Zapdos,,
POKEMON146,Moltres,,
POKEMON147,Dratini,,
POKEMON148,Dragonair,,
POKEMON149,Dragonite,,
POKEMON150,Mewtwo,,
POKEMON151,Mew,,
POKEMON152,Chikorita,,
POKEMON153,Bayleef,,
POKEMON154,Meganium,,
POKEMON155,Cyndaquil,,
POKEMON156,Quilava,,
POKEMON157,Typhlosion,,
POKEMON158,Totodile,,
POKEMON159,Croconaw,,
POKEMON160,Feraligator,,
POKEMON161,Sentret,,
POKEMON162,Furret,,
POKEMON163,Hoothoot,,
POKEMON164,Noctowl,,
POKEMON165,Ledyba,,
POKEMON166,Ledian,,
POKEMON167,Spinarak,,
POKEMON168,Ariados,,
POKEMON169,Crobat,,
POKEMON170,Chinchou,Chonchi,
POKEMON171,Lanturn,,
POKEMON172,Pichu,,
POKEMON173,Cleffa,Pi,
POKEMON174,Igglybuff,,
POKEMON175,Togepi,,
POKEMON176,Togetic,,
POKEMON177,Natu,,
POKEMON178,Xatu,,
POKEMON179,Mareep,,
POKEMON180,Flaaffy,,
POKEMON181,Ampharos,,
POKEMON182,Bellossom,,
POKEMON183,Marill,,
POKEMON184,Azumarill,,
POKEMON185,Sudowoodo,,
POKEMON186,Politoed,,
POKEMON187,Hoppip,,
POKEMON188,Skiploom,,
POKEMON189,Jumpluff,,
POKEMON190,Aipom,,
POKEMON191,Sunkern,,
POKEMON192,Sunflora,,
POKEMON193,Yanma,,
POKEMON194,Wooper,,
POKEMON195,Quagsire,,
POKEMON196,Espeon,,
POKEMON197,Umbreon,Blacky,
POKEMON198,Murkrow,,
POKEMON199,Slowking,,
POKEMON200,Misdreavus,,
POKEMON201,Unown,,
POKEMON202,Wobbuffet,,
POKEMON203,Girafarig,,
POKEMON204,Pineco,,
POKEMON205,Forretress,,
POKEMON206,Dunsparce,,
POKEMON207,Gligar,,
POKEMON208,Steelix,,
POKEMON209,Snubbull,,
POKEMON210,Granbull,,
POKEMON211,Qwilfish,,
POKEMON212,Scizor,,
POKEMON213,Shuckle,,
POKEMON214,Heracross,,
POKEMON215,Sneasel,,
POKEMON216,Teddiursa,,
POKEMON217,Ursaring,,
POKEMON218,Slugma,,
POKEMON219,Magcargo,,
POKEMON220,Swinub,,
POKEMON221,Piloswine,,
POKEMON222,Corsola,,
POKEMON223,Remoraid,,
POKEMON224,Octillery,,
POKEMON225,Delibird,,
POKEMON226,Mantine,,
POKEMON227,Skarmory,,
POKEMON228,Houndour,,
POKEMON229,Houndoom,,
POKEMON230,Kingdra,,
POKEMON231,Phanpy,,
POKEMON232,Donphan,,
POKEMON233,Porygon2,,
POKEMON234,Stantler,,
POKEMON235,Smeargle,,
POKEMON236,Tyrogue,,
POKEMON237,Hitmontop,,
POKEMON238,Smoochum,,
POKEMON239,Elekid,,
POKEMON240,Magby,,
POKEMON241,Miltank,,
POKEMON242,Blissey,,
POKEMON243,Raikou,,
POKEMON244,Entei,,
POKEMON245,Suicune,,
POKEMON246,Larvitar,,
POKEMON247,Pupitar,,
POKEMON248,Tyranitar,,
POKEMON249,Lugia,,
POKEMON250,Ho-Oh,,
POKEMON251,Celebi,,
POKEMON252,Treecko,,
POKEMON253,Grovyle,,
POKEMON254,Sceptile,,
POKEMON255,Torchic,,
POKEMON256,Combusken,,
POKEMON257,Blaziken,,
POKEMON258,Mudkip,,
POKEMON259,Marshtomp,,
POKEMON260,Swampert,,
POKEMON261,Poochyena,,
POKEMON262,Mightyena,,
POKEMON263,Zigzagoon,,
POKEMON264,Linoone,,
POKEMON265,Wurmple,,
POKEMON266,Silcoon,,
POKEMON267,Beautifly,,
POKEMON268,Cascoon,,
POKEMON269,Dustox,,
POKEMON270,Lotad,,
POKEMON271,Lombre,,
POKEMON272,Ludicolo,,
POKEMON273,Seedot,,
POKEMON274,Nuzleaf,,
POKEMON275,Shiftry,,
POKEMON276,Taillow,,
POKEMON277,Swellow,,
POKEMON278,Wingull,,
POKEMON279,Pelipper,,
POKEMON280,Ralts,,
POKEMON281,Kirlia,,
POKEMON282,Gardevoir,,
POKEMON283,Surskit,,
POKEMON284,Masquerain,,
POKEMON285,Shroomish,,
POKEMON286,Breloom,,
POKEMON287,Slakoth,,
POKEMON288,Vigoroth,,
POKEMON289,Slaking,,
POKEMON290,Nincada,,
POKEMON291,Ninjask,,
POKEMON292,Shedinja,,
POKEMON293,Whismur,,
POKEMON294,Loudred,,
POKEMON295,Exploud,,
POKEMON296,Makuhita,,
POKEMON297,Hariyama,,
POKEMON298,Azurill,,
POKEMON299,Nosepass,,
POKEMON300,Skitty,,
POKEMON301,Delcatty,,
POKEMON302,Sableye,,
POKEMON303,Mawile,,
